Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,392.720001,394.130005,392.720001,393.519989,392.233643,3795900
2021-07-01,394.299988,395.850006,394.209991,395.739990,394.446381,3414500
2021-07-02,396.850006,399.049988,396.529999,398.750000,397.446564,4363100
2021-07-06,398.769989,398.989990,395.299988,398.000000,396.699005,4331300
2021-07-07,398.670013,399.660004,396.679993,399.369995,398.064514,4747800
2021-07-08,394.200012,396.880005,393.019989,396.190002,394.894928,5817100
2021-07-09,397.630005,400.649994,397.420013,400.369995,399.061249,3332200
2021-07-12,400.299988,402.029999,399.869995,401.820007,400.506531,2929200
2021-07-13,401.079987,402.500000,400.179993,400.459991,399.150940,4313100
2021-07-14,402.059998,402.570007,399.820007,401.010010,399.699188,3332200
2021-07-15,399.739990,400.380005,397.809998,399.720001,398.413391,4483900
2021-07-16,400.839996,400.880005,396.140015,396.609985,395.313538,4516600
2021-07-19,391.779999,392.260010,387.929993,390.679993,389.402924,12336200
2021-07-20,391.350006,397.500000,390.010010,396.200012,394.904907,4043100
2021-07-21,397.480011,399.619995,397.269989,399.529999,398.223999,2996600
2021-07-22,399.709991,400.559998,398.700012,400.380005,399.071228,2575700
2021-07-23,402.170013,404.750000,401.579987,404.380005,403.058167,3151900
2021-07-26,403.920013,405.420013,403.820007,405.410004,404.084778,2374300
2021-07-27,404.450012,404.450012,400.799988,403.609985,402.290649,3626100
2021-07-28,404.170013,404.760010,402.040009,403.390015,402.071411,3763700
2021-07-29,404.359985,406.130005,404.350006,405.130005,403.805695,2274200
2021-07-30,402.589996,404.529999,402.470001,403.149994,401.832153,5204000
2021-08-02,404.779999,405.359985,401.940002,402.329987,401.014832,5814700
2021-08-03,403.079987,405.660004,400.920013,405.579987,404.254211,4129600
2021-08-04,404.309998,404.859985,403.339996,403.640015,402.320587,3880200
2021-08-05,404.700012,406.190002,404.380005,406.160004,404.832336,3052800
2021-08-06,406.440002,407.179993,406.170013,406.859985,405.530029,2486500
2021-08-09,406.750000,407.049988,405.690002,406.470001,405.141327,1984400
2021-08-10,406.910004,407.670013,406.230011,406.980011,405.649658,2400700
2021-08-11,408.000000,408.070007,406.910004,407.959991,406.626434,3554400
2021-08-12,407.820007,409.329987,406.970001,409.149994,407.812561,2319300
2021-08-13,409.640015,409.959991,409.179993,409.959991,408.619904,2252600
2021-08-16,408.709991,411.010010,407.149994,410.940002,409.596710,3379100
2021-08-17,408.410004,409.049988,405.309998,408.230011,406.895569,5186300
2021-08-18,407.220001,408.750000,403.540009,403.839996,402.519897,4878300
2021-08-19,401.089996,405.549988,400.929993,404.410004,403.088043,5505700
2021-08-20,404.679993,407.920013,404.260010,407.609985,406.277588,3262900
2021-08-23,409.250000,412.079987,409.230011,411.220001,409.875793,3259400
2021-08-24,411.899994,412.359985,411.350006,411.869995,410.523651,3006500
2021-08-25,412.059998,413.209991,411.670013,412.630005,411.281189,3261400
2021-08-26,412.410004,412.660004,410.200012,410.220001,408.879059,4707600
2021-08-27,411.089996,414.329987,411.019989,413.859985,412.507141,3879500
2021-08-30,414.660004,416.559998,414.390015,415.760010,414.400970,2811800
2021-08-31,415.660004,416.019989,414.579987,415.049988,413.693268,6062900
2021-09-01,416.049988,416.589996,415.160004,415.489990,414.131836,3256400
2021-09-02,416.799988,417.440002,415.500000,416.730011,415.367798,2835500
2021-09-03,415.579987,417.059998,415.160004,416.570007,415.208313,3740000
2021-09-07,416.269989,416.290009,414.420013,415.029999,413.673340,3542500
2021-09-08,414.529999,415.260010,412.670013,414.630005,413.274658,4012600
2021-09-09,414.339996,416.070007,412.570007,412.769989,411.420715,3887800
2021-09-10,414.690002,415.100006,409.420013,409.579987,408.241150,4032500
2021-09-13,412.519989,412.709991,408.309998,410.540009,409.198029,4738300
2021-09-14,412.019989,412.179993,407.489990,408.410004,407.074982,3657700
2021-09-15,408.790009,412.260010,407.700012,411.820007,410.473846,3891400
2021-09-16,411.269989,412.190002,408.230011,411.109985,409.766144,3351500
